MSOA Code,MSOA Name,Total population,Local Authority English Name,Proportion of Population in 10% Most Deprived LSOAs,Proportion of Population in 20% Most Deprived LSOAs,Proportion of Population in 30% Most Deprived LSOAs,Proportion of Population in 40% Most Deprived LSOAs,Proportion of Population in 50% Most Deprived LSOAs,Proportion of Population in 60% Most Deprived LSOAs,Proportion of Population in 70% Most Deprived LSOAs,Proportion of Population in 80% Most Deprived LSOAs,Proportion of Population in 90% Most Deprived LSOAs,WIMD 2019 rank,MSOA HoCL English Name,MSOA HoCl Welsh Name
W02000359,Newport 013,11578,Newport,0.3380549317671446,0.694420452582484,0.694420452582484,0.694420452582484,1,1,1,1,1,359,Victoria & Somerton,Victoria a Somerton
W02000138,Pembrokeshire 013,9675,Pembrokeshire,0.32599483204134366,0.4895090439276486,0.4895090439276486,0.8712144702842377,1,1,1,1,1,358,Pembroke Dock,Doc Penfro
W02000311,Caerphilly 022,9947,Caerphilly,0.30692671157132806,0.47672665125163366,0.47672665125163366,0.47672665125163366,0.6830200060319694,0.6830200060319694,0.8703126570825375,1,1,357,Caerphilly East,Dwyrain Caerffili
W02000316,Blaenau Gwent 003,7000,Blaenau Gwent,0.19985714285714284,0.42757142857142855,0.6355714285714286,0.6355714285714286,0.8062857142857143,1,1,1,1,356,Sirhowy,Sirhywi
W02000318,Blaenau Gwent 005,9425,Blaenau Gwent,0.1442970822281167,0.6375596816976127,0.8479575596816976,1,1,1,1,1,1,355,Blaina & Nantyglo,Blaenau a Nant-y-glo
W02000003,Isle of Anglesey 003,10658,Isle of Anglesey,0.1203790579846125,0.7313754925877275,0.8887220866954401,0.8887220866954401,0.8887220866954401,1,1,1,1,354,Holyhead,Caergybi
W02000273,Rhondda Cynon Taf 022,10093,Rhondda Cynon Taf,0.16783909640344793,0.31170117903497474,0.5069850391360349,0.6389576934509066,1,1,1,1,1,353,Trefforest,Trefforest
W02000221,Bridgend 004,7768,Bridgend,0.2959577754891864,0.2959577754891864,0.8370236869207003,1,1,1,1,1,1,352,"Blaengarw, Pontycymer & Bettws","Blaengarw, Pontycymer a Betws"
W02000332,Torfaen 010,7380,Torfaen,0,0.6452574525745257,0.6452574525745257,1,1,1,1,1,1,351,Cwmbran,Cwmbrân
W02000181,Swansea 014,7435,Swansea,0.24788164088769335,0.47599193006052454,0.7747141896435776,0.7747141896435776,0.7747141896435776,0.7747141896435776,1,1,1,350,Bon-y-maen,Bôn-y-maen
